,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB,longitude,latitude
415190,659665,,513410.0,0.0,0.0,0.0,1.0,0.0,North,2022/2023,SH 16,KENNEDYS ROAD,Minor Crash,Yes,2023,0.0,East,1.0,0.0,0.0,Flat,0.0,,0.0,0.0,Bright sun,220000.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Auckland Region,Nil,2-way,Sealed,0.0,0.0,0.0,0.0,80.0,0.0,None,1.0,0.0,,76.0,Auckland,Nil,0.0,0.0,0.0,0.0,0.0,0.0,Open,1.0,0.0,0.0,Fine,Null,174.593290172781,-36.7941091515423
415191,659666,,536653.0,0.0,0.0,0.0,0.0,0.0,North,2022/2023,FORD ROAD,KAITUNA ROAD,Serious Crash,No,2023,1.0,South,0.0,0.0,0.0,Flat,0.0,,0.0,0.0,Dark,1209502.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bay of Plenty Region,Nil,2-way,Sealed,0.0,0.0,1.0,0.0,60.0,0.0,None,0.0,0.0,,22.0,Western Bay of Plenty District,Nil,0.0,0.0,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine,Null,176.414443969823,-37.7498588556365
415196,659671,,535241.0,0.0,0.0,0.0,2.0,0.0,North,2022/2023,WAIKATO EXPRESSWAY,TIRAU ROAD ON RAMP,Minor Crash,Yes,2023,0.0,South,0.0,0.0,0.0,Flat,2.0,,0.0,0.0,Bright sun,1122700.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Waikato Region,Nil,1-way,Sealed,0.0,0.0,0.0,0.0,100.0,0.0,Off,0.0,0.0,,17.0,Waipa District,Nil,0.0,0.0,0.0,0.0,0.0,0.0,Open,0.0,0.0,0.0,Fine,Null,175.507788853594,-37.8966494249503
415205,659680,,579803.0,0.0,0.0,0.0,1.0,0.0,South,2022/2023,PONATAHI ROAD,RIVERSIDE ROAD,Minor Crash,No,2023,0.0,South,0.0,0.0,0.0,Hill Road,0.0,,0.0,0.0,Bright sun,2275900.0,1.0,0.0,0.0,2.0,,,0.0,,0.0,0.0,0.0,0.0,Wellington Region,Nil,2-way,Unsealed,,0.0,0.0,0.0,100.0,0.0,None,0.0,0.0,30.0,50.0,South Wairarapa District,Nil,,,0.0,0.0,0.0,0.0,Open,0.0,0.0,0.0,Fine,Null,175.478077035777,-41.2021614504402
415208,659683,,573526.0,0.0,0.0,0.0,4.0,0.0,West,2022/2023,HUTT ROAD,HOROKIWI ROAD,Minor Crash,Yes,2023,0.0,South,0.0,0.0,0.0,Flat,0.0,,0.0,0.0,Bright sun,2077503.0,1.0,0.0,0.0,2.0,,,0.0,,0.0,0.0,0.0,0.0,Wellington Region,Nil,2-way,Sealed,,0.0,0.0,0.0,100.0,0.0,Off,0.0,0.0,,47.0,Wellington City,Nil,,,0.0,0.0,0.0,1.0,Open,0.0,0.0,0.0,Fine,Null,174.83652615336,-41.2331778938293
415212,659687,,562402.0,1.0,0.0,0.0,1.0,0.0,Null,2022/2023,ALBERT STREET,BROADWAY AVENUE,Minor Crash,No,2023,0.0,North,0.0,0.0,0.0,Flat,0.0,,0.0,0.0,Overcast,1836300.0,1.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,0.0,0.0,Manawatū-Whanganui Region,Nil,1-way,Sealed,,0.0,0.0,0.0,50.0,0.0,Off,0.0,0.0,,40.0,Palmerston North City,Give way,,,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine,Null,175.623472237411,-40.3493711319444
415214,659689,,610074.0,0.0,0.0,0.0,0.0,0.0,Null,2022/2023,OTERAMIKA ROAD,WILCOX ROAD,Minor Crash,No,2023,0.0,East,0.0,0.0,0.0,Flat,0.0,,0.0,0.0,Overcast,3161600.0,1.0,0.0,0.0,2.0,,,0.0,,0.0,0.0,0.0,0.0,Southland Region,Nil,2-way,Sealed,,0.0,0.0,0.0,100.0,0.0,None,1.0,0.0,,75.0,Invercargill City,Give way,,,0.0,0.0,1.0,0.0,Open,0.0,0.0,0.0,Light rain,Null,168.438759601034,-46.4083179138141
415216,659691,,581601.0,0.0,0.0,0.0,1.0,1.0,West,2022/2023,GLENVIEW ROAD,DRY RIVER BR,Minor Crash,No,2023,0.0,North,0.0,0.0,0.0,Flat,0.0,,0.0,0.0,Dark,2345800.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tasman Region,Nil,2-way,Sealed,0.0,0.0,0.0,0.0,100.0,0.0,Off,0.0,0.0,,51.0,Tasman District,Nil,0.0,0.0,0.0,0.0,0.0,0.0,Open,0.0,0.0,0.0,Fine,Null,172.839500255363,-40.8624972658173
415218,659693,,609034.0,0.0,0.0,0.0,1.0,0.0,South,2022/2023,ELEVENTH AVENUE,TWELFTH AVENUE,Serious Crash,No,2023,0.0,East,0.0,0.0,0.0,Hill Road,0.0,,0.0,0.0,Bright sun,3039712.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Otago Region,Nil,2-way,Sealed,0.0,0.0,1.0,0.0,20.0,0.0,Off,1.0,0.0,,70.0,Queenstown-Lakes District,Nil,0.0,0.0,0.0,0.0,1.0,0.0,Urban,0.0,0.0,0.0,Fine,Null,168.780873822841,-45.0018975072783
415220,659695,,527912.0,0.0,0.0,0.0,1.0,0.0,Null,2022/2023,KOURA DRIVE,KOURA DRIVE ON RAMP,Minor Crash,Yes,2023,0.0,North,0.0,0.0,0.0,Hill Road,1.0,,0.0,0.0,Overcast,977001.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Waikato Region,Motorway ramp,2-way,Sealed,0.0,0.0,0.0,0.0,80.0,0.0,Off,0.0,0.0,,13.0,Waikato District,Give way,0.0,0.0,0.0,0.0,0.0,0.0,Open,1.0,0.0,0.0,Fine,Strong wind,175.209020287592,-37.7333665425781
